# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
 1887       7.273809824664e-02       6.760743997382e-04       9.471722903088e-06       6.812318428792e-04       1.015552813943e-03       5.951089917942e-06      -7.591522652767e-08 
 1888       7.283161075964e-02       6.772046395600e-04       8.554910460236e-06       6.819741165770e-04       1.014495118056e-03       6.029032656119e-06      -6.866885676484e-08 
 1889       7.292545737720e-02       6.783423763021e-04       7.621152428659e-06       6.827168025683e-04       1.013438623751e-03       6.107578902339e-06      -6.114717220538e-08 
 1890       7.301961978406e-02       6.794871035575e-04       6.671656089028e-06       6.834599021083e-04       1.012383329351e-03       6.186696338507e-06      -5.337987874985e-08 
 1891       7.311407958471e-02       6.806383127097e-04       5.707633989920e-06       6.842034164575e-04       1.011329233132e-03       6.266352504699e-06      -4.539681071029e-08 
 1892       7.320881830331e-02       6.817954929301e-04       4.730303954850e-06       6.849473468815e-04       1.010276333327e-03       6.346514798975e-06      -3.722793098110e-08 
 1893       7.330381738354e-02       6.829581311745e-04       3.740889089300e-06       6.856916946515e-04       1.009224628125e-03       6.427150477188e-06      -2.890333120999e-08 
 1894       7.339905818850e-02       6.841257121808e-04       2.740617787750e-06       6.864364610438e-04       1.008174115671e-03       6.508226652795e-06      -2.045323196891e-08 
 1895       7.349452200062e-02       6.852977184654e-04       1.730723740710e-06       6.871816473401e-04       1.007124794066e-03       6.589710296666e-06      -1.190798292494e-08 
 1896       7.359019002157e-02       6.864736303208e-04       7.124459417541e-07       6.879272548276e-04       1.006076661367e-03       6.671568236899e-06      -3.298063011241e-09 
 1897       7.368604337209e-02       6.876529258122e-04      -3.129713054553e-07       6.886732847985e-04       1.005029715584e-03       6.753767158624e-06       5.345919402052e-09 
 1898       7.378206309195e-02       6.888350807749e-04      -1.344278380131e-06       6.894197385507e-04       1.003983954687e-03       6.836273603817e-06       1.399322633688e-08 
 1899       7.387823013980e-02       6.900195688111e-04      -2.380220337331e-06       6.901666173872e-04       1.002939376599e-03       6.919053971114e-06       2.261299003636e-08 
 1900       7.397452539307e-02       6.912058612873e-04      -3.419536900929e-06       6.909139226166e-04       1.001895979197e-03       7.002074515614e-06       3.117421279386e-08 
 1901       7.407092964789e-02       6.923934273308e-04      -4.460962456583e-06       6.916616555525e-04       1.000853760316e-03       7.085301348694e-06       3.964576678205e-08 
 1902       7.416742361895e-02       6.935817338273e-04      -5.503226044702e-06       6.924098175143e-04       9.998127177442e-04       7.168700437821e-06       4.799639388204e-08 
 1903       7.426398793941e-02       6.947702454177e-04      -6.545051353418e-06       6.931584098266e-04       9.987728492269e-04       7.252237606358e-06       5.619470551240e-08 
 1904       7.436060316076e-02       6.959584244949e-04      -7.585156711553e-06       6.939074338193e-04       9.977341524632e-04       7.335878533378e-06       6.420918245827e-08 
 1905       7.445724975279e-02       6.971457312015e-04      -8.622255081590e-06       6.946568908278e-04       9.966966251072e-04       7.419588753474e-06       7.200817470042e-08 
 1906       7.455390810340e-02       6.983316234262e-04      -9.655054052638e-06       6.954067821930e-04       9.956602647685e-04       7.503333656567e-06       7.955990124437e-08 
 1907       7.465055851853e-02       6.995155568013e-04      -1.068225583341e-05       6.961571092609e-04       9.946250690109e-04       7.587078487719e-06       8.683244994939e-08 
 1908       7.474718122205e-02       7.006969846995e-04      -1.170255724517e-05       6.969078733833e-04       9.935910353535e-04       7.670788346945e-06       9.379377735768e-08 
 1909       7.484375703631e-02       7.018753832762e-04      -1.271471311339e-05       6.976590759139e-04       9.925581615574e-04       7.754424479284e-06       1.004176612296e-07 
 1910       7.494026942968e-02       7.030503268119e-04      -1.371772698806e-05       6.984107181981e-04       9.915264464908e-04       7.837933114325e-06       1.067016083834e-07 
 1911       7.503670248449e-02       7.042214129417e-04      -1.471066187148e-05       6.991628015834e-04       9.904958892708e-04       7.921256540743e-06       1.126490838039e-07 
 1912       7.513304021771e-02       7.053882376603e-04      -1.569257694743e-05       6.999153274228e-04       9.894664889761e-04       8.004336807958e-06       1.182635704247e-07 
